,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,FamilySize,Enrolled,Total
566,Graduation,Alone,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,3,11,0,61,2,11,1065
567,PostGraduated,Together,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,3,11,0,72,4,10,11
568,Graduation,Alone,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,44,2,10,21
569,Graduation,Together,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,4,11,17
570,Graduation,Together,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,3,11,0,49,3,11,369
571,PostGraduated,Together,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,3,11,0,55,4,9,38
572,UnderGraduate,Alone,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,3,11,0,45,2,10,177
573,PostGraduated,Together,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,3,11,0,53,3,10,279
574,PostGraduated,Together,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,42,3,10,62
575,PostGraduated,Together,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,3,11,1,46,3,10,1230
576,Graduation,Together,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,3,11,0,55,4,9,182
577,Graduation,Together,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,3,11,0,53,4,10,49
578,PostGraduated,Together,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,3,11,0,57,4,10,75
579,PostGraduated,Together,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,3,11,0,67,4,10,227
580,PostGraduated,Together,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,3,11,0,49,4,11,215
581,Graduation,Together,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,72,3,10,444
582,UnderGraduate,Together,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,3,11,0,56,4,10,47
583,PostGraduated,Together,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,3,11,0,72,2,10,143
584,Graduation,Together,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,3,11,0,40,3,9,55
585,UnderGraduate,Together,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,3,11,0,52,4,9,63
586,Graduation,Alone,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,3,11,1,68,1,11,1867
587,PostGraduated,Together,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,3,11,0,62,3,10,611
588,Graduation,Together,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,3,11,0,68,3,9,473
589,Graduation,Together,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,3,11,0,64,2,10,55
590,PostGraduated,Alone,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,3,11,1,39,2,11,81
591,PostGraduated,Together,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,3,11,1,48,2,11,2086
592,PostGraduated,Alone,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,3,11,0,58,1,10,1478
593,Graduation,Together,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,3,11,0,46,3,9,49
594,PostGraduated,Together,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,3,11,0,51,2,10,382
595,PostGraduated,Together,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,3,11,1,48,3,10,69
596,Graduation,Alone,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,3,11,0,54,2,11,67
597,PostGraduated,Together,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,3,11,0,54,4,10,30
598,UnderGraduate,Together,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,3,11,0,45,3,10,63
599,Graduation,Together,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,3,11,0,42,3,11,79
600,Graduation,Alone,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,62,2,10,42
601,Graduation,Together,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,3,11,0,63,3,11,819
602,Graduation,Alone,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,68,1,10,1151
603,PostGraduated,Together,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,3,11,0,75,4,11,594
604,PostGraduated,Together,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,3,11,0,57,4,10,129
605,PostGraduated,Alone,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,3,11,1,37,2,11,213
606,Graduation,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,50,2,9,67
607,Graduation,Alone,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,67,4,10,28
608,UnderGraduate,Together,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,3,11,0,48,3,11,45
609,Graduation,Together,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,0,58,2,9,1193
610,PostGraduated,Alone,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,3,11,0,54,1,10,268
611,PostGraduated,Alone,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,3,11,0,79,1,10,266
612,UnderGraduate,Together,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,3,11,0,50,3,11,37
613,Graduation,Together,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,56,5,10,37
614,PostGraduated,Alone,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,3,11,1,54,1,11,882
615,Graduation,Together,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,3,11,0,49,4,10,373
616,PostGraduated,Alone,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,3,11,0,58,4,10,35
617,PostGraduated,Together,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,3,11,0,47,4,10,107
618,Graduation,Alone,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,3,11,0,45,3,10,42
619,PostGraduated,Together,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,3,11,0,63,3,11,326
620,PostGraduated,Together,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,62,3,10,404
621,Graduation,Alone,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,3,11,0,52,1,10,95
622,Graduation,Alone,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,3,11,0,74,1,9,939
623,UnderGraduate,Alone,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,45,2,10,33
624,UnderGraduate,Together,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,68,2,10,981
625,Graduation,Together,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,47,3,10,36
626,Graduation,Alone,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,3,11,0,48,2,10,1237
627,Graduation,Together,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,3,11,1,63,3,11,1825
628,PostGraduated,Alone,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,3,11,0,46,3,11,103
629,Graduation,Alone,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,3,11,0,46,2,11,191
630,PostGraduated,Together,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,3,11,0,53,3,10,1586
631,PostGraduated,Together,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,3,11,0,65,2,9,963
632,UnderGraduate,Together,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,53,3,9,889
633,UnderGraduate,Alone,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,3,11,1,63,1,9,93
634,Graduation,Alone,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,1,50,1,10,1587
635,Graduation,Alone,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,61,4,9,16
636,Graduation,Alone,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,3,11,0,71,1,10,1375
637,Graduation,Together,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,3,11,0,61,3,10,393
638,PostGraduated,Alone,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,73,2,11,1477
639,Graduation,Together,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,3,11,0,52,3,10,1179
640,Graduation,Together,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,3,11,0,63,3,11,1005
641,PostGraduated,Together,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,3,11,0,75,2,9,1348
642,PostGraduated,Alone,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,3,11,0,64,2,11,1307
643,Graduation,Alone,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,59,2,10,486
644,PostGraduated,Together,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,3,11,1,76,2,10,2252
645,PostGraduated,Together,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,3,11,0,52,4,10,235
646,Graduation,Together,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,3,11,1,53,2,10,1724
647,PostGraduated,Alone,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,3,11,0,53,2,10,235
648,PostGraduated,Together,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,3,11,0,46,3,9,1092
649,Graduation,Together,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,3,11,0,65,3,10,599
650,PostGraduated,Alone,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,3,11,0,63,1,9,2008
651,Graduation,Together,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,3,11,0,38,3,11,48
652,Graduation,Together,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,0,49,3,11,1174
653,PostGraduated,Together,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,3,11,0,73,3,9,67
654,Graduation,Alone,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,3,11,0,68,2,11,365
655,Graduation,Alone,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,48,1,9,6
656,Graduation,Together,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,3,11,0,70,3,9,165
657,UnderGraduate,Together,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0,65,2,11,210
658,PostGraduated,Together,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,3,11,0,76,3,10,1095
659,PostGraduated,Alone,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,3,11,0,57,4,10,223
660,Graduation,Together,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,3,11,0,60,3,11,597
661,Graduation,Together,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,0,38,3,10,22
662,Graduation,Alone,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,3,11,0,48,2,10,1064
663,UnderGraduate,Together,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,3,11,0,43,2,11,74
664,PostGraduated,Together,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,67,2,10,26
665,Graduation,Together,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,0,64,2,11,60
666,PostGraduated,Together,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,49,3,10,20
667,UnderGraduate,Alone,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,3,11,0,36,2,10,59
668,PostGraduated,Together,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,55,3,10,34
669,UnderGraduate,Together,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,3,11,0,52,4,10,198
670,PostGraduated,Together,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,0,59,3,10,1048
671,PostGraduated,Alone,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,3,11,0,61,3,10,574
672,Graduation,Alone,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,53,2,11,1029
673,Graduation,Together,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,3,11,0,43,3,10,670
674,PostGraduated,Alone,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,48,2,11,990
675,Graduation,Together,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,49,4,9,11
676,PostGraduated,Together,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1,60,3,11,1241
677,Graduation,Alone,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,3,11,0,44,1,9,576
678,UnderGraduate,Together,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,38,3,10,172
679,PostGraduated,Alone,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,3,11,0,43,1,10,664
680,Graduation,Alone,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,60,2,10,928
681,Graduation,Alone,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,3,11,0,56,1,11,2074
682,UnderGraduate,Together,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,3,11,0,41,2,10,467
683,Graduation,Together,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,3,11,0,68,3,10,257
684,Graduation,Together,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,3,11,0,56,2,10,1146
685,PostGraduated,Alone,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,3,11,0,47,2,10,689
686,PostGraduated,Alone,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,3,11,1,51,1,11,2114
687,PostGraduated,Together,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,3,11,0,41,2,11,1717
688,PostGraduated,Together,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,3,11,0,34,2,9,1346
689,PostGraduated,Together,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,0,54,2,10,1044
690,PostGraduated,Alone,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,3,11,1,63,2,11,493
691,Graduation,Alone,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,3,11,0,53,1,10,957
692,PostGraduated,Together,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,3,11,0,65,3,10,270
693,UnderGraduate,Together,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,3,11,0,71,2,10,29
694,PostGraduated,Alone,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,3,11,1,74,3,10,121
695,PostGraduated,Together,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,3,11,0,62,4,10,126
696,Graduation,Alone,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,28,1,9,23
697,PostGraduated,Alone,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,3,11,1,74,3,10,57
698,Graduation,Alone,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,3,11,0,62,1,10,636
699,Graduation,Together,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,3,11,0,63,2,9,1004
700,Graduation,Alone,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,3,11,0,50,2,10,734
701,Graduation,Together,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,3,11,0,45,4,9,614
702,Graduation,Alone,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,3,11,0,45,2,9,1453
703,PostGraduated,Alone,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,3,11,1,35,1,9,1621
704,PostGraduated,Alone,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,3,11,0,55,2,10,187
705,Graduation,Together,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,37,3,10,1443
706,PostGraduated,Alone,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,3,11,0,53,2,9,57
707,Graduation,Alone,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,3,11,0,72,2,10,637
708,PostGraduated,Together,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,3,11,0,75,3,10,948
709,PostGraduated,Together,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,3,11,1,52,3,10,59
710,Graduation,Together,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,3,11,0,37,3,10,18
711,PostGraduated,Alone,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,3,11,0,58,2,11,903
712,Graduation,Alone,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,3,11,0,48,2,10,112
713,Graduation,Together,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,3,11,0,70,2,10,596
714,Graduation,Together,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,3,11,0,41,3,10,233
715,PostGraduated,Together,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,3,11,0,48,2,11,1511
716,UnderGraduate,Alone,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,3,11,1,63,1,11,1152
717,Graduation,Together,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,3,11,0,45,3,10,48
718,Graduation,Alone,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,3,11,0,53,2,10,1185
719,Graduation,Alone,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,65,3,9,21
720,PostGraduated,Together,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,3,11,0,58,3,11,965
721,Graduation,Together,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,3,11,0,69,2,10,869
722,PostGraduated,Together,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,3,11,0,39,3,9,16
723,Graduation,Together,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,3,11,0,58,2,10,1947
724,Graduation,Together,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,3,11,1,47,3,11,71
725,Graduation,Together,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,3,11,0,57,3,9,65
726,Graduation,Together,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,3,11,0,68,2,10,1380
727,PostGraduated,Alone,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,3,11,0,47,1,9,1027
728,PostGraduated,Together,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,3,11,0,58,5,10,411
729,Graduation,Together,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,3,11,0,32,2,10,836
730,PostGraduated,Alone,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,3,11,0,74,3,10,11
731,PostGraduated,Together,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,3,11,0,70,4,11,480
732,Graduation,Together,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,45,4,10,606
733,PostGraduated,Alone,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,3,11,0,75,4,10,284
734,Graduation,Alone,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,3,11,0,50,3,10,1472
735,Graduation,Together,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,3,11,1,74,2,9,1677
736,Graduation,Together,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,3,11,0,50,3,10,1335
737,PostGraduated,Together,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,3,11,0,71,3,9,334
738,UnderGraduate,Together,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,3,11,0,34,3,10,18
739,Graduation,Together,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,3,11,0,54,3,11,1338
740,PostGraduated,Alone,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,3,11,0,70,2,10,1099
741,PostGraduated,Together,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,3,11,0,67,4,10,97
742,PostGraduated,Alone,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,3,11,0,73,4,9,63
743,UnderGraduate,Together,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,3,11,0,45,3,10,109
744,Graduation,Together,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,3,11,0,59,2,9,902
745,Graduation,Together,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,3,11,0,71,2,10,1574
746,UnderGraduate,Together,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,3,11,0,48,3,10,38
747,Graduation,Alone,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,3,11,0,28,1,9,960
748,Graduation,Alone,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,3,11,0,53,2,10,28
749,UnderGraduate,Together,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,3,11,1,69,2,9,1215
750,PostGraduated,Together,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,3,11,0,51,2,10,1497
751,PostGraduated,Together,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,3,11,0,65,3,10,449
752,Graduation,Alone,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,3,11,0,48,2,10,1064
753,Graduation,Together,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,3,11,1,54,2,10,1757
754,Graduation,Together,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,3,11,0,44,2,9,1440
755,UnderGraduate,Together,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,3,11,0,45,2,10,1006
756,PostGraduated,Together,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,3,11,1,51,3,11,1226
757,Graduation,Together,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,3,11,0,59,3,10,1171
758,PostGraduated,Together,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,3,11,0,44,3,10,92
759,PostGraduated,Together,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,3,11,0,64,3,9,99
760,UnderGraduate,Together,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,3,11,0,42,3,10,66
761,Graduation,Alone,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,3,11,0,56,3,9,564
762,PostGraduated,Together,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,3,11,0,35,2,10,1427
763,PostGraduated,Alone,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,3,11,1,45,2,10,86
764,Graduation,Alone,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,3,11,0,71,1,9,833
765,Graduation,Together,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,3,11,0,68,3,10,242
766,Graduation,Together,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,3,11,0,46,2,11,1869
767,Graduation,Together,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,3,11,0,36,2,11,1364
768,UnderGraduate,Together,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,3,11,0,58,3,10,183
769,PostGraduated,Together,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,3,11,0,67,3,10,450
770,Graduation,Together,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,3,11,0,44,3,10,758
771,PostGraduated,Together,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,3,11,0,72,2,10,1507
